2017-01-12 00:00:00 - open: 19880.000000, high: 19882.000000, close: 19871.000000, low: 19871.000000, volume: 91
2017-01-12 00:01:00 - open: 19872.000000, high: 19874.000000, close: 19871.000000, low: 19871.000000, volume: 39
2017-01-12 00:02:00 - open: 19870.000000, high: 19873.000000, close: 19870.000000, low: 19870.000000, volume: 61
2017-01-12 00:03:00 - open: 19870.000000, high: 19870.000000, close: 19870.000000, low: 19868.000000, volume: 16
2017-01-12 00:04:00 - open: 19869.000000, high: 19872.000000, close: 19871.000000, low: 19869.000000, volume: 17
2017-01-12 00:05:00 - open: 19871.000000, high: 19872.000000, close: 19872.000000, low: 19871.000000, volume: 13
2017-01-12 00:06:00 - open: 19873.000000, high: 19873.000000, close: 19873.000000, low: 19873.000000, volume: 17
2017-01-12 00:07:00 - open: 19873.000000, high: 19873.000000, close: 19872.000000, low: 19872.000000, volume: 7
2017-01-12 00:08:00 - open: 19871.000000, high: 19871.000000, close: 19871.000000, low: 19871.000000, volume: 3
2017-01-12 00:09:00 - open: 19871.000000, high: 19871.000000, close: 19871.000000, low: 19871.000000, volume: 4
2017-01-12 00:10:00 - open: 19872.000000, high: 19872.000000, close: 19872.000000, low: 19872.000000, volume: 4
2017-01-12 00:11:00 - open: 19873.000000, high: 19873.000000, close: 19872.000000, low: 19872.000000, volume: 5
2017-01-12 00:12:00 - open: 19872.000000, high: 19872.000000, close: 19872.000000, low: 19872.000000, volume: 2
2017-01-12 00:13:00 - open: 19872.000000, high: 19872.000000, close: 19872.000000, low: 19872.000000, volume: 1
2017-01-12 00:14:00 - open: 19873.000000, high: 19875.000000, close: 19875.000000, low: 19873.000000, volume: 12
2017-01-12 00:15:00 - open: 19874.000000, high: 19876.000000, close: 19876.000000, low: 19874.000000, volume: 12
2017-01-12 00:16:00 - open: 19876.000000, high: 19876.000000, close: 19876.000000, low: 19876.000000, volume: 0
2017-01-12 00:17:00 - open: 19875.000000, high: 19875.000000, close: 19875.000000, low: 19875.000000, volume: 5
2017-01-12 00:18:00 - open: 19875.000000, high: 19875.000000, close: 19875.000000, low: 19875.000000, volume: 0
2017-01-12 00:19:00 - open: 19874.000000, high: 19874.000000, close: 19874.000000, low: 19874.000000, volume: 3
2017-01-12 00:20:00 - open: 19873.000000, high: 19873.000000, close: 19872.000000, low: 19872.000000, volume: 12
2017-01-12 00:21:00 - open: 19871.000000, high: 19871.000000, close: 19868.000000, low: 19868.000000, volume: 20
2017-01-12 00:22:00 - open: 19869.000000, high: 19870.000000, close: 19869.000000, low: 19868.000000, volume: 6
2017-01-12 00:23:00 - open: 19868.000000, high: 19869.000000, close: 19869.000000, low: 19868.000000, volume: 20
2017-01-12 00:24:00 - open: 19870.000000, high: 19871.000000, close: 19871.000000, low: 19870.000000, volume: 15
2017-01-12 00:25:00 - open: 19871.000000, high: 19871.000000, close: 19871.000000, low: 19871.000000, volume: 0
2017-01-12 00:26:00 - open: 19870.000000, high: 19871.000000, close: 19871.000000, low: 19870.000000, volume: 6
2017-01-12 00:27:00 - open: 19871.000000, high: 19871.000000, close: 19871.000000, low: 19871.000000, volume: 0
2017-01-12 00:28:00 - open: 19871.000000, high: 19871.000000, close: 19871.000000, low: 19871.000000, volume: 0
2017-01-12 00:29:00 - open: 19870.000000, high: 19871.000000, close: 19871.000000, low: 19870.000000, volume: 10
2017-01-12 00:30:00 - open: 19870.000000, high: 19870.000000, close: 19869.000000, low: 19868.000000, volume: 27
2017-01-12 00:31:00 - open: 19869.000000, high: 19870.000000, close: 19869.000000, low: 19868.000000, volume: 11
2017-01-12 00:32:00 - open: 19869.000000, high: 19869.000000, close: 19869.000000, low: 19869.000000, volume: 4
2017-01-12 00:33:00 - open: 19870.000000, high: 19870.000000, close: 19869.000000, low: 19869.000000, volume: 2
2017-01-12 00:34:00 - open: 19869.000000, high: 19869.000000, close: 19869.000000, low: 19869.000000, volume: 4
2017-01-12 00:35:00 - open: 19869.000000, high: 19869.000000, close: 19868.000000, low: 19868.000000, volume: 8
2017-01-12 00:36:00 - open: 19868.000000, high: 19868.000000, close: 19867.000000, low: 19867.000000, volume: 14
2017-01-12 00:37:00 - open: 19867.000000, high: 19867.000000, close: 19867.000000, low: 19866.000000, volume: 30
2017-01-12 00:38:00 - open: 19868.000000, high: 19869.000000, close: 19869.000000, low: 19868.000000, volume: 15
2017-01-12 00:39:00 - open: 19869.000000, high: 19869.000000, close: 19869.000000, low: 19869.000000, volume: 8
2017-01-12 00:40:00 - open: 19870.000000, high: 19870.000000, close: 19870.000000, low: 19870.000000, volume: 16
2017-01-12 00:41:00 - open: 19870.000000, high: 19870.000000, close: 19870.000000, low: 19869.000000, volume: 4
2017-01-12 00:42:00 - open: 19869.000000, high: 19869.000000, close: 19869.000000, low: 19869.000000, volume: 2
2017-01-12 00:43:00 - open: 19869.000000, high: 19869.000000, close: 19869.000000, low: 19869.000000, volume: 0
2017-01-12 00:44:00 - open: 19869.000000, high: 19869.000000, close: 19869.000000, low: 19869.000000, volume: 0
2017-01-12 00:45:00 - open: 19868.000000, high: 19870.000000, close: 19869.000000, low: 19868.000000, volume: 93
2017-01-12 00:46:00 - open: 19869.000000, high: 19869.000000, close: 19869.000000, low: 19869.000000, volume: 6
2017-01-12 00:47:00 - open: 19869.000000, high: 19870.000000, close: 19870.000000, low: 19869.000000, volume: 6
2017-01-12 00:48:00 - open: 19870.000000, high: 19870.000000, close: 19870.000000, low: 19870.000000, volume: 2
2017-01-12 00:49:00 - open: 19869.000000, high: 19869.000000, close: 19869.000000, low: 19869.000000, volume: 5
2017-01-12 00:50:00 - open: 19870.000000, high: 19870.000000, close: 19869.000000, low: 19869.000000, volume: 24
2017-01-12 00:51:00 - open: 19869.000000, high: 19870.000000, close: 19870.000000, low: 19869.000000, volume: 33
2017-01-12 00:52:00 - open: 19870.000000, high: 19870.000000, close: 19869.000000, low: 19869.000000, volume: 10
2017-01-12 00:53:00 - open: 19870.000000, high: 19870.000000, close: 19869.000000, low: 19869.000000, volume: 3
2017-01-12 00:54:00 - open: 19870.000000, high: 19870.000000, close: 19869.000000, low: 19869.000000, volume: 6
2017-01-12 00:55:00 - open: 19869.000000, high: 19870.000000, close: 19870.000000, low: 19869.000000, volume: 6
2017-01-12 00:56:00 - open: 19870.000000, high: 19870.000000, close: 19870.000000, low: 19870.000000, volume: 1
2017-01-12 00:57:00 - open: 19870.000000, high: 19870.000000, close: 19870.000000, low: 19870.000000, volume: 0
2017-01-12 00:58:00 - open: 19870.000000, high: 19871.000000, close: 19871.000000, low: 19870.000000, volume: 3
2017-01-12 00:59:00 - open: 19869.000000, high: 19870.000000, close: 19870.000000, low: 19869.000000, volume: 29
2017-01-12 01:00:00 - open: 19870.000000, high: 19872.000000, close: 19870.000000, low: 19870.000000, volume: 33
2017-01-12 01:01:00 - open: 19871.000000, high: 19871.000000, close: 19870.000000, low: 19870.000000, volume: 5
2017-01-12 01:02:00 - open: 19870.000000, high: 19873.000000, close: 19873.000000, low: 19870.000000, volume: 27
2017-01-12 01:03:00 - open: 19872.000000, high: 19873.000000, close: 19872.000000, low: 19872.000000, volume: 10
2017-01-12 01:04:00 - open: 19871.000000, high: 19871.000000, close: 19871.000000, low: 19870.000000, volume: 40
2017-01-12 01:05:00 - open: 19871.000000, high: 19871.000000, close: 19871.000000, low: 19871.000000, volume: 13
2017-01-12 01:06:00 - open: 19871.000000, high: 19871.000000, close: 19871.000000, low: 19871.000000, volume: 3
2017-01-12 01:07:00 - open: 19871.000000, high: 19872.000000, close: 19871.000000, low: 19871.000000, volume: 13
2017-01-12 01:08:00 - open: 19871.000000, high: 19871.000000, close: 19871.000000, low: 19871.000000, volume: 1
2017-01-12 01:09:00 - open: 19872.000000, high: 19872.000000, close: 19869.000000, low: 19868.000000, volume: 54
2017-01-12 01:10:00 - open: 19869.000000, high: 19870.000000, close: 19870.000000, low: 19869.000000, volume: 35
2017-01-12 01:11:00 - open: 19870.000000, high: 19870.000000, close: 19870.000000, low: 19870.000000, volume: 3
2017-01-12 01:12:00 - open: 19869.000000, high: 19869.000000, close: 19868.000000, low: 19868.000000, volume: 36
2017-01-12 01:13:00 - open: 19868.000000, high: 19868.000000, close: 19867.000000, low: 19867.000000, volume: 10
2017-01-12 01:14:00 - open: 19866.000000, high: 19868.000000, close: 19868.000000, low: 19866.000000, volume: 20
2017-01-12 01:15:00 - open: 19867.000000, high: 19867.000000, close: 19865.000000, low: 19865.000000, volume: 42
2017-01-12 01:16:00 - open: 19866.000000, high: 19866.000000, close: 19866.000000, low: 19865.000000, volume: 14
2017-01-12 01:17:00 - open: 19866.000000, high: 19866.000000, close: 19866.000000, low: 19866.000000, volume: 6
2017-01-12 01:18:00 - open: 19867.000000, high: 19867.000000, close: 19866.000000, low: 19866.000000, volume: 4
2017-01-12 01:19:00 - open: 19867.000000, high: 19868.000000, close: 19868.000000, low: 19867.000000, volume: 28
2017-01-12 01:20:00 - open: 19868.000000, high: 19868.000000, close: 19867.000000, low: 19865.000000, volume: 42
2017-01-12 01:21:00 - open: 19867.000000, high: 19867.000000, close: 19861.000000, low: 19861.000000, volume: 88
2017-01-12 01:22:00 - open: 19860.000000, high: 19861.000000, close: 19861.000000, low: 19860.000000, volume: 14
2017-01-12 01:23:00 - open: 19862.000000, high: 19862.000000, close: 19862.000000, low: 19861.000000, volume: 20
2017-01-12 01:24:00 - open: 19861.000000, high: 19862.000000, close: 19862.000000, low: 19861.000000, volume: 19
2017-01-12 01:25:00 - open: 19862.000000, high: 19862.000000, close: 19859.000000, low: 19858.000000, volume: 34
2017-01-12 01:26:00 - open: 19859.000000, high: 19860.000000, close: 19859.000000, low: 19859.000000, volume: 6
2017-01-12 01:27:00 - open: 19859.000000, high: 19859.000000, close: 19858.000000, low: 19858.000000, volume: 28
2017-01-12 01:28:00 - open: 19857.000000, high: 19859.000000, close: 19859.000000, low: 19856.000000, volume: 44
2017-01-12 01:29:00 - open: 19860.000000, high: 19860.000000, close: 19860.000000, low: 19858.000000, volume: 8
2017-01-12 01:30:00 - open: 19860.000000, high: 19860.000000, close: 19858.000000, low: 19858.000000, volume: 6
2017-01-12 01:31:00 - open: 19858.000000, high: 19859.000000, close: 19857.000000, low: 19857.000000, volume: 15
2017-01-12 01:32:00 - open: 19856.000000, high: 19857.000000, close: 19855.000000, low: 19855.000000, volume: 34
2017-01-12 01:33:00 - open: 19855.000000, high: 19856.000000, close: 19856.000000, low: 19855.000000, volume: 18
2017-01-12 01:34:00 - open: 19855.000000, high: 19856.000000, close: 19856.000000, low: 19855.000000, volume: 14
2017-01-12 01:35:00 - open: 19857.000000, high: 19857.000000, close: 19856.000000, low: 19854.000000, volume: 33
2017-01-12 01:36:00 - open: 19856.000000, high: 19856.000000, close: 19855.000000, low: 19855.000000, volume: 14
2017-01-12 01:37:00 - open: 19855.000000, high: 19855.000000, close: 19855.000000, low: 19855.000000, volume: 9
2017-01-12 01:38:00 - open: 19855.000000, high: 19855.000000, close: 19855.000000, low: 19854.000000, volume: 5
2017-01-12 01:39:00 - open: 19855.000000, high: 19856.000000, close: 19854.000000, low: 19854.000000, volume: 36
2017-01-12 01:40:00 - open: 19854.000000, high: 19854.000000, close: 19854.000000, low: 19854.000000, volume: 3
2017-01-12 01:41:00 - open: 19855.000000, high: 19855.000000, close: 19855.000000, low: 19855.000000, volume: 5
2017-01-12 01:42:00 - open: 19855.000000, high: 19856.000000, close: 19856.000000, low: 19855.000000, volume: 10
2017-01-12 01:43:00 - open: 19856.000000, high: 19858.000000, close: 19857.000000, low: 19856.000000, volume: 30
2017-01-12 01:44:00 - open: 19858.000000, high: 19860.000000, close: 19859.000000, low: 19858.000000, volume: 15
2017-01-12 01:45:00 - open: 19859.000000, high: 19859.000000, close: 19858.000000, low: 19858.000000, volume: 5
2017-01-12 01:46:00 - open: 19859.000000, high: 19859.000000, close: 19859.000000, low: 19858.000000, volume: 3
2017-01-12 01:47:00 - open: 19858.000000, high: 19860.000000, close: 19860.000000, low: 19858.000000, volume: 33
2017-01-12 01:48:00 - open: 19860.000000, high: 19860.000000, close: 19858.000000, low: 19858.000000, volume: 18
2017-01-12 01:49:00 - open: 19857.000000, high: 19857.000000, close: 19857.000000, low: 19856.000000, volume: 8
2017-01-12 01:50:00 - open: 19856.000000, high: 19857.000000, close: 19857.000000, low: 19855.000000, volume: 11
2017-01-12 01:51:00 - open: 19856.000000, high: 19856.000000, close: 19856.000000, low: 19856.000000, volume: 2
2017-01-12 01:52:00 - open: 19856.000000, high: 19856.000000, close: 19855.000000, low: 19855.000000, volume: 12
2017-01-12 01:53:00 - open: 19855.000000, high: 19857.000000, close: 19856.000000, low: 19855.000000, volume: 14
2017-01-12 01:54:00 - open: 19857.000000, high: 19857.000000, close: 19856.000000, low: 19856.000000, volume: 7
2017-01-12 01:55:00 - open: 19856.000000, high: 19857.000000, close: 19856.000000, low: 19856.000000, volume: 7
2017-01-12 01:56:00 - open: 19856.000000, high: 19856.000000, close: 19855.000000, low: 19855.000000, volume: 12
2017-01-12 01:57:00 - open: 19855.000000, high: 19856.000000, close: 19855.000000, low: 19855.000000, volume: 14
2017-01-12 01:58:00 - open: 19855.000000, high: 19855.000000, close: 19855.000000, low: 19855.000000, volume: 6
2017-01-12 01:59:00 - open: 19854.000000, high: 19855.000000, close: 19855.000000, low: 19854.000000, volume: 11
2017-01-12 02:00:00 - open: 19856.000000, high: 19857.000000, close: 19856.000000, low: 19856.000000, volume: 20
